what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"gtk",1385385605299
locale,sysinfo,,,"en_IE",1385385605299
processors,sysinfo,,,"4",1385385605299
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1385385605299
java.runtime.version,sysinfo,,,"1.6.0_27-b27",1385385605299
java.specification.name,sysinfo,,,"Java Platform API Specification",1385385605299
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1385385605299
java.specification.version,sysinfo,,,"1.6",1385385605299
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1385385605299
java.version,sysinfo,,,"1.6.0_27",1385385605299
java.vm.info,sysinfo,,,"mixed mode",1385385605299
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1385385605299
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1385385605299
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1385385605299
java.vm.specification.version,sysinfo,,,"1.0",1385385605299
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1385385605299
java.vm.version,sysinfo,,,"20.0-b12",1385385605299
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1385385605318
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1385385605417
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1385385606576
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1385385606607
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1385385606707
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1385385606754
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1385385606812
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1385385606859
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1385385606927
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1385385606928
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1385385606930
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1385385606934
